Catalogue Link,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Tooth Finish,Heat Treatment
SS2-18J17,S45C,2,18,36,17 keyway&screw hole,Standard,None
SS2-19J12,S45C,2,19,38,12 keyway&screw hole,Standard,None
SS2-19J14,S45C,2,19,38,14 keyway&screw hole,Standard,None
SS2-19J15,S45C,2,19,38,15 keyway&screw hole,Standard,None
SS2-19J16,S45C,2,19,38,16 keyway&screw hole,Standard,None
SS2-19J17,S45C,2,19,38,17 keyway&screw hole,Standard,None
SS2-19J18,S45C,2,19,38,18 keyway&screw hole,Standard,None
SS2-20J12,S45C,2,20,40,12 keyway&screw hole,Standard,None
SS2-20J14,S45C,2,20,40,14 keyway&screw hole,Standard,None
SS2-20J15,S45C,2,20,40,15 keyway&screw hole,Standard,None
SS2-20J16,S45C,2,20,40,16 keyway&screw hole,Standard,None
SS2-20J17,S45C,2,20,40,17 keyway&screw hole,Standard,None
SS2-20J18,S45C,2,20,40,18 keyway&screw hole,Standard,None
SS2-20J19,S45C,2,20,40,19 keyway&screw hole,Standard,None
SS2-21J12,S45C,2,21,42,12 keyway&screw hole,Standard,None
SS2-21J14,S45C,2,21,42,14 keyway&screw hole,Standard,None
SS2-21J15,S45C,2,21,42,15 keyway&screw hole,Standard,None
SS2-21J16,S45C,2,21,42,16 keyway&screw hole,Standard,None
SS2-21J17,S45C,2,21,42,17 keyway&screw hole,Standard,None
SS2-21J18,S45C,2,21,42,18 keyway&screw hole,Standard,None
SS2-21J19,S45C,2,21,42,19 keyway&screw hole,Standard,None
SS2-21J20,S45C,2,21,42,20 keyway&screw hole,Standard,None
SS2-22J12,S45C,2,22,44,12 keyway&screw hole,Standard,None
SS2-22J14,S45C,2,22,44,14 keyway&screw hole,Standard,None
SS2-22J15,S45C,2,22,44,15 keyway&screw hole,Standard,None
SS2-22J16,S45C,2,22,44,16 keyway&screw hole,Standard,None
SS2-22J17,S45C,2,22,44,17 keyway&screw hole,Standard,None
SS2-22J18,S45C,2,22,44,18 keyway&screw hole,Standard,None
SS2-22J19,S45C,2,22,44,19 keyway&screw hole,Standard,None
SS2-22J20,S45C,2,22,44,20 keyway&screw hole,Standard,None
SS2-23J12,S45C,2,23,46,12 keyway&screw hole,Standard,None
SS2-23J14,S45C,2,23,46,14 keyway&screw hole,Standard,None
SS2-23J15,S45C,2,23,46,15 keyway&screw hole,Standard,None
SS2-23J16,S45C,2,23,46,16 keyway&screw hole,Standard,None
SS2-23J17,S45C,2,23,46,17 keyway&screw hole,Standard,None
SS2-23J18,S45C,2,23,46,18 keyway&screw hole,Standard,None
SS2-23J19,S45C,2,23,46,19 keyway&screw hole,Standard,None
SS2-23J20,S45C,2,23,46,20 keyway&screw hole,Standard,None
SS2-23J22,S45C,2,23,46,22 keyway&screw hole,Standard,None
SS2-24J12,S45C,2,24,48,12 keyway&screw hole,Standard,None
SS2-24J14,S45C,2,24,48,14 keyway&screw hole,Standard,None
SS2-24J15,S45C,2,24,48,15 keyway&screw hole,Standard,None
SS2-24J16,S45C,2,24,48,16 keyway&screw hole,Standard,None
SS2-24J17,S45C,2,24,48,17 keyway&screw hole,Standard,None
SS2-24J18,S45C,2,24,48,18 keyway&screw hole,Standard,None
SS2-24J19,S45C,2,24,48,19 keyway&screw hole,Standard,None
SS2-24J20,S45C,2,24,48,20 keyway&screw hole,Standard,None
SS2-24J22,S45C,2,24,48,22 keyway&screw hole,Standard,None
SS2-25J12,S45C,2,25,50,12 keyway&screw hole,Standard,None
SS2-25J14,S45C,2,25,50,14 keyway&screw hole,Standard,None
SS2-25J15,S45C,2,25,50,15 keyway&screw hole,Standard,None
SS2-25J16,S45C,2,25,50,16 keyway&screw hole,Standard,None
SS2-25J17,S45C,2,25,50,17 keyway&screw hole,Standard,None
SS2-25J18,S45C,2,25,50,18 keyway&screw hole,Standard,None
SS2-25J19,S45C,2,25,50,19 keyway&screw hole,Standard,None
SS2-25J20,S45C,2,25,50,20 keyway&screw hole,Standard,None
SS2-25J22,S45C,2,25,50,22 keyway&screw hole,Standard,None
SS2-26J12,S45C,2,26,52,12 keyway&screw hole,Standard,None
SS2-26J14,S45C,2,26,52,14 keyway&screw hole,Standard,None
SS2-26J15,S45C,2,26,52,15 keyway&screw hole,Standard,None
SS2-26J16,S45C,2,26,52,16 keyway&screw hole,Standard,None
SS2-26J17,S45C,2,26,52,17 keyway&screw hole,Standard,None
SS2-26J18,S45C,2,26,52,18 keyway&screw hole,Standard,None
SS2-26J19,S45C,2,26,52,19 keyway&screw hole,Standard,None
SS2-26J20,S45C,2,26,52,20 keyway&screw hole,Standard,None
SS2-26J22,S45C,2,26,52,22 keyway&screw hole,Standard,None
SS2-26J25,S45C,2,26,52,25 keyway&screw hole,Standard,None
SS2-27J12,S45C,2,27,54,12 keyway&screw hole,Standard,None
SS2-27J14,S45C,2,27,54,14 keyway&screw hole,Standard,None
SS2-27J15,S45C,2,27,54,15 keyway&screw hole,Standard,None
SS2-27J16,S45C,2,27,54,16 keyway&screw hole,Standard,None
SS2-27J17,S45C,2,27,54,17 keyway&screw hole,Standard,None
SS2-27J18,S45C,2,27,54,18 keyway&screw hole,Standard,None
SS2-27J19,S45C,2,27,54,19 keyway&screw hole,Standard,None
SS2-27J20,S45C,2,27,54,20 keyway&screw hole,Standard,None
SS2-27J22,S45C,2,27,54,22 keyway&screw hole,Standard,None
SS2-27J25,S45C,2,27,54,25 keyway&screw hole,Standard,None
SS2-28J12,S45C,2,28,56,12 keyway&screw hole,Standard,None
SS2-28J14,S45C,2,28,56,14 keyway&screw hole,Standard,None
SS2-28J15,S45C,2,28,56,15 keyway&screw hole,Standard,None
SS2-28J16,S45C,2,28,56,16 keyway&screw hole,Standard,None
SS2-28J17,S45C,2,28,56,17 keyway&screw hole,Standard,None
SS2-28J18,S45C,2,28,56,18 keyway&screw hole,Standard,None
SS2-28J19,S45C,2,28,56,19 keyway&screw hole,Standard,None
SS2-28J20,S45C,2,28,56,20 keyway&screw hole,Standard,None
SS2-28J22,S45C,2,28,56,22 keyway&screw hole,Standard,None
SS2-28J25,S45C,2,28,56,25 keyway&screw hole,Standard,None
SS2-29J12,S45C,2,29,58,12 keyway&screw hole,Standard,None
SS2-29J14,S45C,2,29,58,14 keyway&screw hole,Standard,None
SS2-29J15,S45C,2,29,58,15 keyway&screw hole,Standard,None
SS2-29J16,S45C,2,29,58,16 keyway&screw hole,Standard,None
SS2-29J17,S45C,2,29,58,17 keyway&screw hole,Standard,None
SS2-29J18,S45C,2,29,58,18 keyway&screw hole,Standard,None
SS2-29J19,S45C,2,29,58,19 keyway&screw hole,Standard,None
SS2-29J20,S45C,2,29,58,20 keyway&screw hole,Standard,None
SS2-29J22,S45C,2,29,58,22 keyway&screw hole,Standard,None
SS2-29J25,S45C,2,29,58,25 keyway&screw hole,Standard,None
SS2-29J28,S45C,2,29,58,28 keyway&screw hole,Standard,None
SS2-30J12,S45C,2,30,60,12 keyway&screw hole,Standard,None
SS2-30J14,S45C,2,30,60,14 keyway&screw hole,Standard,None
SS2-30J15,S45C,2,30,60,15 keyway&screw hole,Standard,None
SS2-30J16,S45C,2,30,60,16 keyway&screw hole,Standard,None
SS2-30J17,S45C,2,30,60,17 keyway&screw hole,Standard,None
SS2-30J18,S45C,2,30,60,18 keyway&screw hole,Standard,None
SS2-30J19,S45C,2,30,60,19 keyway&screw hole,Standard,None
SS2-30J20,S45C,2,30,60,20 keyway&screw hole,Standard,None
SS2-30J22,S45C,2,30,60,22 keyway&screw hole,Standard,None
SS2-30J25,S45C,2,30,60,25 keyway&screw hole,Standard,None
SS2-30J28,S45C,2,30,60,28 keyway&screw hole,Standard,None
SS2-30J30,S45C,2,30,60,30 keyway&screw hole,Standard,None
SS2-32J12,S45C,2,32,64,12 keyway&screw hole,Standard,None
SS2-32J14,S45C,2,32,64,14 keyway&screw hole,Standard,None
SS2-32J15,S45C,2,32,64,15 keyway&screw hole,Standard,None
SS2-32J16,S45C,2,32,64,16 keyway&screw hole,Standard,None
SS2-32J17,S45C,2,32,64,17 keyway&screw hole,Standard,None
SS2-32J18,S45C,2,32,64,18 keyway&screw hole,Standard,None
