Catalogue Link,Material,Module,Teeth Count,Pitch Diameter (mm),Bore Diameter (mm),Tooth Finish,Heat Treatment
SS1.5-65J22,S45C,1.5,65,97.5,22 keyway&screw hole,Standard,None
SS1.5-65J25,S45C,1.5,65,97.5,25 keyway&screw hole,Standard,None
SS1.5-65J28,S45C,1.5,65,97.5,28 keyway&screw hole,Standard,None
SS1.5-65J30,S45C,1.5,65,97.5,30 keyway&screw hole,Standard,None
SS1.5-65J32,S45C,1.5,65,97.5,32 keyway&screw hole,Standard,None
SS1.5-66J15,S45C,1.5,66,99,15 keyway&screw hole,Standard,None
SS1.5-66J16,S45C,1.5,66,99,16 keyway&screw hole,Standard,None
SS1.5-66J17,S45C,1.5,66,99,17 keyway&screw hole,Standard,None
SS1.5-66J18,S45C,1.5,66,99,18 keyway&screw hole,Standard,None
SS1.5-66J19,S45C,1.5,66,99,19 keyway&screw hole,Standard,None
SS1.5-66J20,S45C,1.5,66,99,20 keyway&screw hole,Standard,None
SS1.5-66J22,S45C,1.5,66,99,22 keyway&screw hole,Standard,None
SS1.5-66J25,S45C,1.5,66,99,25 keyway&screw hole,Standard,None
SS1.5-66J28,S45C,1.5,66,99,28 keyway&screw hole,Standard,None
SS1.5-66J30,S45C,1.5,66,99,30 keyway&screw hole,Standard,None
SS1.5-66J32,S45C,1.5,66,99,32 keyway&screw hole,Standard,None
SS1.5-68J15,S45C,1.5,68,102,15 keyway&screw hole,Standard,None
SS1.5-68J16,S45C,1.5,68,102,16 keyway&screw hole,Standard,None
SS1.5-68J17,S45C,1.5,68,102,17 keyway&screw hole,Standard,None
SS1.5-68J18,S45C,1.5,68,102,18 keyway&screw hole,Standard,None
SS1.5-68J19,S45C,1.5,68,102,19 keyway&screw hole,Standard,None
SS1.5-68J20,S45C,1.5,68,102,20 keyway&screw hole,Standard,None
SS1.5-68J22,S45C,1.5,68,102,22 keyway&screw hole,Standard,None
SS1.5-68J25,S45C,1.5,68,102,25 keyway&screw hole,Standard,None
SS1.5-68J28,S45C,1.5,68,102,28 keyway&screw hole,Standard,None
SS1.5-68J30,S45C,1.5,68,102,30 keyway&screw hole,Standard,None
SS1.5-68J32,S45C,1.5,68,102,32 keyway&screw hole,Standard,None
SS1.5-70J15,S45C,1.5,70,105,15 keyway&screw hole,Standard,None
SS1.5-70J16,S45C,1.5,70,105,16 keyway&screw hole,Standard,None
SS1.5-70J17,S45C,1.5,70,105,17 keyway&screw hole,Standard,None
SS1.5-70J18,S45C,1.5,70,105,18 keyway&screw hole,Standard,None
SS1.5-70J19,S45C,1.5,70,105,19 keyway&screw hole,Standard,None
SS1.5-70J20,S45C,1.5,70,105,20 keyway&screw hole,Standard,None
SS1.5-70J22,S45C,1.5,70,105,22 keyway&screw hole,Standard,None
SS1.5-70J25,S45C,1.5,70,105,25 keyway&screw hole,Standard,None
SS1.5-70J28,S45C,1.5,70,105,28 keyway&screw hole,Standard,None
SS1.5-70J30,S45C,1.5,70,105,30 keyway&screw hole,Standard,None
SS1.5-70J32,S45C,1.5,70,105,32 keyway&screw hole,Standard,None
SS1.5-72J15,S45C,1.5,72,108,15 keyway&screw hole,Standard,None
SS1.5-72J16,S45C,1.5,72,108,16 keyway&screw hole,Standard,None
SS1.5-72J17,S45C,1.5,72,108,17 keyway&screw hole,Standard,None
SS1.5-72J18,S45C,1.5,72,108,18 keyway&screw hole,Standard,None
SS1.5-72J19,S45C,1.5,72,108,19 keyway&screw hole,Standard,None
SS1.5-72J20,S45C,1.5,72,108,20 keyway&screw hole,Standard,None
SS1.5-72J22,S45C,1.5,72,108,22 keyway&screw hole,Standard,None
SS1.5-72J25,S45C,1.5,72,108,25 keyway&screw hole,Standard,None
SS1.5-72J28,S45C,1.5,72,108,28 keyway&screw hole,Standard,None
SS1.5-72J30,S45C,1.5,72,108,30 keyway&screw hole,Standard,None
SS1.5-72J32,S45C,1.5,72,108,32 keyway&screw hole,Standard,None
SS1.5-75J15,S45C,1.5,75,112.5,15 keyway&screw hole,Standard,None
SS1.5-75J16,S45C,1.5,75,112.5,16 keyway&screw hole,Standard,None
SS1.5-75J17,S45C,1.5,75,112.5,17 keyway&screw hole,Standard,None
SS1.5-75J18,S45C,1.5,75,112.5,18 keyway&screw hole,Standard,None
SS1.5-75J19,S45C,1.5,75,112.5,19 keyway&screw hole,Standard,None
SS1.5-75J20,S45C,1.5,75,112.5,20 keyway&screw hole,Standard,None
SS1.5-75J22,S45C,1.5,75,112.5,22 keyway&screw hole,Standard,None
SS1.5-75J25,S45C,1.5,75,112.5,25 keyway&screw hole,Standard,None
SS1.5-75J28,S45C,1.5,75,112.5,28 keyway&screw hole,Standard,None
SS1.5-75J30,S45C,1.5,75,112.5,30 keyway&screw hole,Standard,None
SS1.5-75J32,S45C,1.5,75,112.5,32 keyway&screw hole,Standard,None
SS1.5-75J35,S45C,1.5,75,112.5,35 keyway&screw hole,Standard,None
SS1.5-76J15,S45C,1.5,76,114,15 keyway&screw hole,Standard,None
SS1.5-76J16,S45C,1.5,76,114,16 keyway&screw hole,Standard,None
SS1.5-76J17,S45C,1.5,76,114,17 keyway&screw hole,Standard,None
SS1.5-76J18,S45C,1.5,76,114,18 keyway&screw hole,Standard,None
